Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,-2.2615200000069455,-15.728,2,0.0
1,-2.2596000000009857,-15.711,7,0.5238095238095238
2,-2.2202400000060676,-15.715,8,0.5357142857142857
3,-2.1823200000077057,-15.722,4,0.8333333333333334
4,-2.1508800000044994,-15.723,3,1.0
5,-2.117280000002105,-15.719,6,0.5333333333333333
6,-2.0570400000027336,-15.723,2,1.0
7,-2.0479200000046616,-15.714,11,0.3090909090909091
8,-1.9994400000028838,-15.723,2,1.0
9,-1.9701600000005177,-15.718,4,0.5
10,-1.9675200000057442,-15.722,2,1.0
11,-1.9576800000032177,-15.716,5,0.4
12,-1.9221600000097103,-15.724,2,1.0
13,-1.8775200000085919,-15.713,8,0.39285714285714285
14,-1.8751200000009023,-15.717,3,1.0
15,-1.8556800000077454,-15.719,3,1.0
16,-1.786560000004239,-15.711,12,0.30303030303030304
17,-1.7380800000024612,-15.719,2,1.0
18,-1.708320000001307,-15.717,8,0.5
19,-1.7061600000053216,-15.723,5,0.9
20,-1.695599999999156,-15.724,5,0.9
21,-1.6610400000032248,-15.722,4,1.0
22,-1.6408799999988242,-15.718,7,0.6190476190476191
23,-1.6151999999996791,-15.719,3,1.0
24,-1.5837600000012424,-15.711,7,0.5714285714285714
25,-1.5240000000013891,-15.707,37,0.1066066066066066
26,-1.4755199999996114,-15.718,3,1.0
27,-1.4467200000069473,-15.718,7,0.42857142857142855
28,-1.444800000004899,-15.724,2,1.0
29,-1.438800000007177,-15.72,4,0.6666666666666666
30,-1.4344800000035844,-15.72,3,1.0
31,-1.3992000000040141,-15.718,7,0.42857142857142855
32,-1.3785600000008253,-15.728,2,1.0
33,-1.3629600000062227,-15.719,5,0.5
34,-1.3533600000004684,-15.72,2,1.0
35,-1.351680000007332,-15.716,13,0.32051282051282054
36,-1.3219200000020317,-15.719,5,0.8
37,-1.2139200000052517,-15.723,5,0.9
38,-1.1848800000077366,-15.721,5,0.9
39,-1.1834400000044765,-15.718,9,0.5833333333333334
40,-1.17360000000195,-15.72,4,1.0
41,-1.117920000004042,-15.719,5,0.9
42,-1.1001600000094358,-15.718,6,0.8
43,-1.0922400000048968,-15.715,14,0.3626373626373626
44,-1.0900800000020583,-15.723,7,0.7619047619047619
45,-1.0768800000041665,-15.725,7,0.7619047619047619
46,-0.9249600000036785,-15.732,4,1.0
47,-0.922320000008905,-15.729,5,0.9
