Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,-20.716641574118817,-15.392333333333333,6,0.3333333333333333
1,-20.66477271411882,-15.401466666666662,2,1.0
2,-20.61290385411882,-15.396555555555558,4,0.6666666666666666
3,-20.561034994118813,-15.397666666666668,3,1.0
4,-20.509166134118814,-15.392545454545457,7,0.47619047619047616
5,-20.457297274118815,-15.397263157894736,4,1.0
6,-20.40542841411881,-15.400818181818181,5,0.7
7,-20.35355955411881,-15.40675,2,1.0
8,-20.30169069411881,-15.398249999999999,6,0.5333333333333333
9,-20.249821834118805,-15.400555555555558,2,1.0
10,-20.197952974118806,-15.389999999999999,24,0.18478260869565216
11,-20.146084114118807,-15.397391304347828,6,0.8
12,-20.0942152541188,-15.398,5,1.0
13,-20.042346394118802,-15.398181818181818,6,0.8
14,-19.990477534118803,-15.3997,3,1.0
15,-19.938608674118797,-15.397416666666665,7,0.6190476190476191
16,-19.886739814118798,-15.405625,2,1.0
17,-19.8348709541188,-15.395624999999999,9,0.5
18,-19.783002094118793,-15.395863636363634,5,0.7
19,-19.731133234118793,-15.399090909090908,2,1.0
20,-19.679264374118794,-15.395866666666667,7,0.42857142857142855
21,-19.62739551411879,-15.402555555555555,2,1.0
22,-19.57552665411879,-15.39792857142857,3,0.6666666666666666
23,-19.52365779411879,-15.393461538461539,12,0.3484848484848485
24,-19.471788934118784,-15.395785714285717,6,0.8666666666666667
25,-19.419920074118785,-15.396785714285713,4,1.0
26,-19.368051214118786,-15.396823529411764,8,0.5714285714285714
27,-19.31618235411878,-15.402230769230767,3,1.0
28,-19.26431349411878,-15.402888888888889,3,1.0
29,-19.212444634118782,-15.397923076923076,8,0.5357142857142857
30,-19.160575774118776,-15.40030769230769,3,1.0
31,-19.108706914118777,-15.398166666666668,6,0.8
32,-19.056838054118778,-15.392166666666666,18,0.28104575163398693
33,-19.00496919411877,-15.397142857142859,4,1.0
34,-18.953100334118773,-15.397200000000002,5,0.7
35,-18.901231474118774,-15.399750000000001,2,1.0
36,-18.849362614118768,-15.394874999999999,6,0.5333333333333333
37,-18.79749375411877,-15.399333333333336,2,1.0
38,-18.74562489411877,-15.392533333333331,14,0.2967032967032967
39,-18.693756034118763,-15.395411764705882,3,1.0
40,-18.641887174118764,-15.396176470588236,3,1.0
41,-18.590018314118765,-15.393666666666668,8,0.39285714285714285
42,-18.53814945411876,-15.39875,3,1.0
43,-18.48628059411876,-15.402166666666668,3,1.0
44,-18.43441173411876,-15.395000000000001,5,0.6
45,-18.382542874118755,-15.394312500000002,4,0.8333333333333334
46,-18.330674014118756,-15.392399999999999,14,0.32967032967032966
47,-18.278805154118757,-15.398285714285715,4,1.0
48,-18.22693629411875,-15.3994,4,1.0
49,-18.175067434118752,-15.396333333333336,4,1.0
50,-18.123198574118753,-15.3927,8,0.4642857142857143
51,-18.07132971411875,-15.393785714285714,7,0.5238095238095238
52,-18.019460854118748,-15.400692307692307,3,1.0
53,-17.96759199411875,-15.3995,4,0.8333333333333334
54,-17.915723134118746,-15.399454545454546,3,1.0
55,-17.863854274118744,-15.395789473684209,8,0.42857142857142855
56,-17.811985414118745,-15.3982,2,1.0
57,-17.760116554118742,-15.3944,7,0.47619047619047616
58,-17.70824769411874,-15.398714285714286,3,1.0
59,-17.65637883411874,-15.396222222222223,3,1.0
60,-17.604509974118738,-15.392166666666668,14,0.26373626373626374
61,-17.552641114118735,-15.395799999999998,3,1.0
62,-17.500772254118736,-15.394300000000001,3,1.0
63,-17.448903394118734,-15.392307692307694,6,0.4666666666666667
64,-17.39703453411873,-15.3971,3,1.0
65,-17.345165674118732,-15.397,3,1.0
66,-17.29329681411873,-15.391923076923074,12,0.3787878787878788
67,-17.241427954118727,-15.392249999999999,6,0.6666666666666666
68,-17.189559094118728,-15.39323076923077,5,0.7
69,-17.137690234118725,-15.398399999999999,2,1.0
70,-17.085821374118723,-15.393454545454544,6,0.5333333333333333
71,-17.033952514118724,-15.394874999999999,2,1.0
72,-16.98208365411872,-15.393615384615385,8,0.42857142857142855
73,-16.93021479411872,-15.395764705882353,3,1.0
74,-16.87834593411872,-15.394999999999998,5,0.6
75,-16.826477074118717,-15.396749999999999,3,1.0
76,-16.774608214118714,-15.396999999999998,3,1.0
77,-16.722739354118715,-15.391750000000002,16,0.21666666666666667
78,-16.670870494118713,-15.394875,2,1.0
79,-16.61900163411871,-15.393800000000002,3,0.6666666666666666
80,-16.56713277411871,-15.39276923076923,6,0.4666666666666667
81,-16.51526391411871,-15.400636363636364,3,1.0
82,-16.463395054118706,-15.400615384615385,3,1.0
83,-16.411526194118707,-15.392375000000001,7,0.42857142857142855
84,-16.359657334118708,-15.396071428571426,3,1.0
85,-16.307788474118702,-15.395,3,1.0
86,-16.255919614118703,-15.390875000000001,29,0.16009852216748768
87,-16.204050754118704,-15.39611111111111,5,0.7
88,-16.152181894118698,-15.397857142857143,4,0.6666666666666666
89,-16.1003130341187,-15.406285714285714,2,1.0
90,-16.0484441741187,-15.395999999999999,5,0.6
91,-15.996575314118695,-15.395181818181817,6,0.6
92,-15.944706454118695,-15.396461538461539,3,1.0
93,-15.892837594118692,-15.3964,4,0.8333333333333334
94,-15.840968734118691,-15.393555555555556,13,0.3076923076923077
95,-15.78909987411869,-15.397363636363634,2,1.0
96,-15.737231014118688,-15.395363636363635,5,0.5
97,-15.685362154118687,-15.39646153846154,2,1.0
98,-15.633493294118686,-15.39481818181818,5,0.6
99,-15.581624434118684,-15.394307692307693,7,0.47619047619047616
100,-15.529755574118683,-15.39575,3,1.0
101,-15.477886714118682,-15.396454545454548,4,0.6666666666666666
102,-15.42601785411868,-15.397833333333333,2,1.0
103,-15.374148994118679,-15.393600000000001,15,0.2761904761904762
104,-15.322280134118678,-15.396800000000002,4,1.0
105,-15.270411274118675,-15.398142857142858,4,1.0
106,-15.218542414118675,-15.397666666666666,4,1.0
107,-15.166673554118674,-15.39490909090909,7,0.47619047619047616
108,-15.114804694118671,-15.396272727272729,3,0.6666666666666666
109,-15.06293583411867,-15.401357142857142,2,1.0
110,-15.01106697411867,-15.394357142857144,7,0.38095238095238093
111,-14.959198114118667,-15.3955,2,1.0
112,-14.907329254118666,-15.393733333333332,11,0.32727272727272727
113,-14.855460394118666,-15.401499999999999,2,1.0
114,-14.803591534118663,-15.396909090909093,5,0.7
115,-14.751722674118662,-15.397375,4,1.0
116,-14.699853814118661,-15.395416666666668,4,1.0
117,-14.647984954118659,-15.393066666666668,21,0.22380952380952382
118,-14.596116094118658,-15.39892857142857,3,1.0
119,-14.544247234118657,-15.398833333333334,4,0.8333333333333334
120,-14.492378374118655,-15.401375000000002,3,1.0
121,-14.440509514118654,-15.395999999999997,7,0.42857142857142855
122,-14.388640654118653,-15.403,2,1.0
123,-14.33677179411865,-15.396714285714285,4,0.6666666666666666
124,-14.28490293411865,-15.395125,10,0.37777777777777777
125,-14.233034074118649,-15.401333333333334,2,1.0
126,-14.181165214118646,-15.396222222222223,5,0.5
127,-14.129296354118646,-15.400166666666669,2,1.0
128,-14.077427494118645,-15.395999999999997,6,0.4666666666666667
129,-14.025558634118642,-15.396333333333333,2,1.0
130,-13.973689774118641,-15.394538461538463,9,0.5
131,-13.92182091411864,-15.394599999999999,8,0.42857142857142855
132,-13.869952054118638,-15.399818181818182,2,1.0
133,-13.818083194118637,-15.397916666666669,3,0.6666666666666666
134,-13.766214334118636,-15.396631578947371,5,0.5
135,-13.714345474118634,-15.399785714285713,3,1.0
136,-13.662476614118633,-15.401375,3,1.0
137,-13.610607754118632,-15.3936,9,0.4166666666666667
138,-13.558738894118632,-15.3928,11,0.43636363636363634
139,-13.506870034118629,-15.396818181818183,3,1.0
140,-13.455001174118628,-15.398142857142856,3,1.0
141,-13.403132314118627,-15.393399999999998,6,0.4666666666666667
142,-13.351263454118625,-15.395133333333336,2,1.0
143,-13.299394594118624,-15.392692307692307,6,0.6
144,-13.247525734118623,-15.390545454545457,22,0.21645021645021645
145,-13.19565687411862,-15.400166666666665,2,1.0
146,-13.14378801411862,-15.398090909090909,3,0.6666666666666666
147,-13.091919154118619,-15.396588235294116,7,0.7142857142857143
148,-13.040050294118616,-15.3971,6,0.9333333333333333
149,-12.988181434118616,-15.397538461538462,5,1.0
150,-12.936312574118615,-15.396714285714285,8,0.6785714285714286
151,-12.884443714118612,-15.398375,4,0.8333333333333334
152,-12.832574854118612,-15.3980625,4,0.8333333333333334
153,-12.78070599411861,-15.39575,10,0.4888888888888889
154,-12.72883713411861,-15.398357142857142,3,1.0
155,-12.676968274118607,-15.3966875,6,0.6666666666666666
156,-12.625099414118605,-15.399000000000001,3,1.0
157,-12.573230554118606,-15.3955,6,0.6
158,-12.521361694118603,-15.3984,2,1.0
159,-12.4694928341186,-15.387363636363638,37,0.12612612612612611
160,-12.417623974118602,-15.3931875,7,0.6190476190476191
161,-12.365755114118599,-15.398888888888886,3,1.0
162,-12.313886254118596,-15.3964,5,0.8
163,-12.262017394118597,-15.396266666666664,6,0.6
164,-12.210148534118595,-15.400555555555558,3,1.0
165,-12.158279674118594,-15.401428571428571,3,1.0
166,-12.106410814118593,-15.392733333333334,11,0.34545454545454546
167,-12.05454195411859,-15.396846153846154,4,0.6666666666666666
168,-12.00267309411859,-15.40377777777778,2,1.0
169,-11.95080423411859,-15.3985625,5,0.6
170,-11.898935374118587,-15.400181818181819,3,1.0
171,-11.847066514118586,-15.391888888888888,11,0.38181818181818183
172,-11.795197654118585,-15.3975,4,1.0
173,-11.743328794118582,-15.396799999999999,6,0.6666666666666666
174,-11.691459934118582,-15.400555555555554,2,1.0
175,-11.63959107411858,-15.395684210526317,6,0.5333333333333333
176,-11.587722214118578,-15.397900000000002,2,1.0
177,-11.535853354118577,-15.39342857142857,9,0.4166666666666667
178,-11.483984494118577,-15.397153846153845,3,1.0
179,-11.432115634118574,-15.395545454545458,3,1.0
180,-11.380246774118573,-15.39,23,0.18181818181818182
181,-11.328377914118573,-15.395000000000001,5,0.9
182,-11.27650905411857,-15.395777777777779,6,0.7333333333333333
183,-11.22464019411857,-15.397428571428572,3,1.0
184,-11.172771334118568,-15.395714285714286,6,0.6666666666666666
185,-11.120902474118566,-15.396000000000004,5,0.8
186,-11.069033614118565,-15.39676923076923,4,1.0
187,-11.017164754118564,-15.39725,4,1.0
188,-10.965295894118562,-15.393714285714285,10,0.4
189,-10.91342703411856,-15.402545454545454,2,1.0
190,-10.86155817411856,-15.394785714285714,4,0.5
191,-10.809689314118557,-15.395333333333335,2,1.0
192,-10.757820454118557,-15.392222222222223,14,0.26373626373626374
193,-10.705951594118556,-15.397,3,1.0
194,-10.654082734118553,-15.397636363636366,5,0.7
195,-10.602213874118553,-15.400818181818181,3,1.0
196,-10.550345014118552,-15.402,4,0.8333333333333334
197,-10.49847615411855,-15.394538461538463,9,0.3888888888888889
198,-10.446607294118548,-15.398846153846154,2,1.0
199,-10.394738434118548,-15.394777777777778,9,0.6111111111111112
200,-10.342869574118545,-15.397999999999998,6,1.0
201,-10.291000714118546,-15.398384615384613,6,1.0
202,-10.239131854118543,-15.397699999999997,6,1.0
203,-10.18726299411854,-15.396062500000001,7,0.8571428571428571
204,-10.135394134118542,-15.394187500000001,9,0.6388888888888888
205,-10.08352527411854,-15.39,18,0.26143790849673204
206,-10.031656414118537,-15.394538461538463,3,1.0
