Time,Magnitude
-12.737424005545106,14.879
-12.731664005536969,14.879
-12.729984005541338,14.874
-12.724272005540028,14.873
-12.724176005542317,14.874
-12.723072005546639,14.869
-12.71731200555257,14.883
-12.705840005548025,14.876
-12.703344005544265,14.876
-12.699840005540024,14.872
-12.699072005532285,14.88
-12.679728005546634,14.87
-12.679152005538368,14.883
-12.66916800554503,14.868
-12.655440005553828,14.878
-12.644448005553256,14.877
-12.64396800553814,14.884
-12.641184005533487,14.877
-12.638448005539841,14.876
-12.627840005535843,14.882
-12.625680005537289,14.876
-12.62366400555001,14.866
-12.621792005545911,14.877
-12.59707200553312,14.88
-12.587856005541978,14.874
-12.576672005540201,14.873
-12.575856005550682,14.87
-12.559968005554195,14.867
-12.558384005544765,14.869
-12.554448005535091,14.831
-12.550560005544567,14.85
-12.542688005541633,14.875
-12.542304005559272,14.874
-12.53577600554152,14.874
-12.523008005561307,14.873
-12.511968005561341,14.88
-12.422064005533256,14.873
-12.41227200555329,14.874
-12.402864005538929,14.876
-12.39955200553399,14.877
-12.396144005539652,14.872
-12.391824005551326,14.875
-12.387744005538478,14.877
-12.375264005547306,14.868
-12.364608005551402,14.872
-12.3614400055322,14.873
-12.356208005533984,14.87
-12.35448000553879,14.867
-12.342816005538849,14.872
-12.319872005540587,14.874
-12.318624005543098,14.873
-12.308160005542105,14.885
-12.307488005535957,14.872
-12.30460800553274,14.878
-12.302304005548278,14.875
-12.296592005532899,14.875
-12.294192005544756,14.882
-12.293376005537182,14.877
-12.288288005545338,14.878
-12.279600005548856,14.873
-12.271776005548977,14.873
-12.250368005533387,14.877
-12.242448005536842,14.871
-12.229920005546473,14.879
-12.208848005545873,14.869
-12.203376005534919,14.882
-12.183792005545184,14.878
-12.176592005547205,14.874
-12.175152005543977,14.876
-12.168288005548304,14.869
-12.139632005543147,14.872
-12.13809600553155,14.877
-12.135840005540699,14.869
-12.108000005549554,14.88
-12.10046400553844,14.876
-12.065232005532236,14.881
-12.048480005541933,14.876
-12.040224005541914,14.867
-12.040128005541176,14.879
-11.980944005546545,14.868
-11.978832005544247,14.875
