Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,-21.669087147377162,-14.899642857142853,4,0.3333333333333333
1,-21.614848638377175,-14.90272727272727,2,1.0
2,-21.56061012937719,-14.900055555555557,3,0.6666666666666666
3,-21.5063716203772,-14.898894736842106,6,0.3333333333333333
4,-21.45213311137722,-14.89990909090909,3,1.0
5,-21.39789460237723,-14.900590909090909,3,1.0
6,-21.343656093377245,-14.898866666666667,9,0.3888888888888889
7,-21.289417584377258,-14.899933333333331,3,0.6666666666666666
8,-21.23517907537727,-14.901526315789475,3,0.6666666666666666
9,-21.180940566377284,-14.9034375,2,1.0
10,-21.126702057377297,-14.899454545454546,9,0.3611111111111111
11,-21.072463548377314,-14.901045454545454,2,1.0
12,-21.018225039377327,-14.8996875,7,0.5714285714285714
13,-20.96398653037734,-14.900333333333334,3,1.0
14,-20.909748021377354,-14.899863636363635,6,0.6
15,-20.855509512377367,-14.902052631578949,2,1.0
16,-20.80127100337738,-14.898888888888889,9,0.4166666666666667
17,-20.747032494377393,-14.900157894736843,3,1.0
18,-20.692793985377406,-14.900571428571428,4,0.6666666666666666
19,-20.638555476377423,-14.902166666666666,2,1.0
20,-20.584316967377436,-14.898043478260869,21,0.17142857142857143
21,-20.53007845837745,-14.900133333333335,3,1.0
22,-20.475839949377463,-14.90035294117647,6,0.8
23,-20.421601440377476,-14.90123076923077,5,1.0
24,-20.36736293137749,-14.901935483870966,5,1.0
25,-20.313124422377506,-14.901888888888887,5,1.0
26,-20.25888591337752,-14.898888888888889,14,0.3956043956043956
27,-20.204647404377532,-14.901407407407408,2,1.0
28,-20.150408895377545,-14.89954545454545,10,0.4888888888888889
29,-20.09617038637756,-14.901923076923076,2,1.0
30,-20.04193187737757,-14.900846153846157,3,0.6666666666666666
31,-19.987693368377585,-14.900347826086957,8,0.7142857142857143
32,-19.933454859377598,-14.900400000000001,11,0.5636363636363636
33,-19.87921635037761,-14.901166666666667,7,0.7142857142857143
34,-19.824977841377628,-14.901799999999998,5,1.0
35,-19.77073933237764,-14.902416666666666,5,1.0
36,-19.716500823377654,-14.903,5,1.0
37,-19.662262314377667,-14.90037037037037,11,0.5454545454545454
38,-19.60802380537768,-14.900130434782605,8,0.75
39,-19.553785296377693,-14.8995,13,0.4230769230769231
40,-19.49954678737771,-14.901619047619048,2,1.0
41,-19.445308278377723,-14.900526315789474,5,0.5
42,-19.391069769377737,-14.901315789473685,2,1.0
43,-19.33683126037775,-14.899909090909091,8,0.42857142857142855
44,-19.282592751377763,-14.901799999999998,2,1.0
45,-19.228354242377776,-14.900529411764706,5,0.7
46,-19.17411573337779,-14.9008,4,1.0
47,-19.119877224377802,-14.899944444444445,6,0.6666666666666666
48,-19.065638715377816,-14.898000000000001,23,0.2015810276679842
49,-19.011400206377832,-14.902583333333334,2,1.0
50,-18.957161697377845,-14.900318181818182,6,0.5333333333333333
